teaser-title,link,head_line,real-data,image_links
Eritrea’s President departs for Moscow...,https://www.thereporterethiopia.com/34332/,Eritrea’s President departs for Moscow to meet Putin after China visit,"['Eritrean President Isaias Afewerki departed from Asmara this morning for a four-day official visit to Moscow, Russia, after being invited by Russian President Vladimir Putin.', '\xa0', 'This visit comes just a few days after President Isaias’s trip to China, where he held talks with Chinese President Xi Jinping to discuss bilateral relations.', '\xa0', '“On the invitation of President Vladimir Putin, President Isaias Afwerki departed to Moscow in mid-morning hours today for a four-day official visit,” Eritrean Minister of Information, Yemane G. Meskel tweeted.', '\xa0', 'Presidential delegation includes Foreign Minister Osman Saleh and Commissioner for Culture and Sports, Ambassador Zemede Tecle, according to him.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/06/news-front1-696x355.jpg
Mass protests erupt over mosque...,https://www.thereporterethiopia.com/34271/,Mass protests erupt over mosque demolitions,"['– Two deaths were reported\xa0 \xa0– Thirty-seven police personnel were injured', 'Mass protests broke out in Addis Ababa following Friday prayers as a result of anger over mosque demolitions in the neighboring Shegger city.', 'The demonstrations took place around mosques in the capital yesterday, May 23, 2023, including the Grand Anwar Mosque.', 'Demonstrators called for an immediate stop to the demolitions as well as the rebuilding of the 19 mosques already razed during the last few weeks.', 'Social media outcry has escalated due to the demolitions, with videos showing police officers in riot gear blocking angry protesters circulating widely.', 'The Muslim community has been demanding responses from the Oromia Regional state and federal government offices for the past few weeks but did not receive a positive response.', 'Previously, the Ethiopian Islamic Affairs Supreme Council and the Oromia Region Islamic Affairs Council expressed their opposition to the demolitions and called for immediate action by the government.', 'The Addis Ababa Police Commission reported yesterday that there were two deaths following the protest around the Grand Anwar Mosque.', 'The Commission also reported that 37 police personnel and 15 police assistants were injured during the protest. Police also reported that approximately 114 suspects were detained for allegedly playing “a main role in coordinating the protest.”', 'Muslim activists and religious leaders have voiced deep dismay over what transpired during the protest.', '“It is heartbreaking that the government deployed force against peaceful protesters voicing opposition to the sweeping mosque demolitions,” prominent Muslim figure Ahmedin Jebel posted on his Facebook account, which has over 979,000 followers.', 'Another Muslim figure, Bedru Hussien, called the situation disheartening.', '“The government needs to sit down and discuss with institutions representing the Muslim community, instead of trying to silence them by using force,” he said on his Facebook account, which has over 400,000 followers.', 'A few months after being established surrounding Addis Ababa, administrators of Shaggar City and the Oromia Regional State have been accused by rights groups of demolishing several residential houses and exhibiting ethnic bias during the process, which the city administration denied.', 'The Ethiopian Islamic Council also wrote a letter to Prime Minister Abiy Ahmed (PhD) last week regarding interference from his office, demanding the mosques to be reconstructed. The Oromia Council, for its part, disclosed that at least 19 mosques were demolished in Shaggar City.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/MASS-PROTESTS-ERUPT-OVER-MOSQUE-min-696x355.jpg
"Kenya’s GMO plans disrupted, but...",https://www.thereporterethiopia.com/34268/,"Kenya’s GMO plans disrupted, but Ethiopia pushes forward with testing","['The Kenyan government’s move to import Genetically Modified Organisms (GMOs) for human consumption has faced a setback as the appellate court ruled the move is contrary to the public interest. The appellate court declined the government’s appeal until the interests of the public are heard.', 'On Thursday, May 25, 2023, a panel of three appellate judges, including Justice Mohammed Warsame, Ali Aroni, and John Mativo, stated the application by Kenya’s Attorney General Justin Muturi “lacked merit,” adding that “the public interest test was not met,” according to local media.', 'The use of GMOs has been controversial in many African nations, including Kenya. Critics argue that GMOs could potentially pose risks to human health and the environment. While Kenya faces legal hurdles in its attempt to import GMOs, Ethiopia takes a proactive approach to GMO adoption by testing genetically modified crops. However, concerns remain over the potential health and environmental risks of GMO products, both in Kenya and Ethiopia.', 'Ethiopia has seen little opposition to GMO adoption due to the lack of strong consumer protection activity in the country. Meanwhile, the ongoing legal battle in Kenya highlights the divide between the pro-GMO government and anti-GMO opposition groups who argue that the government did not consult the public and that GMO products pose health risks.', 'In October 2022, the new administration of William Ruto reversed the Kenyan government’s ten-year ban on consumable GMOs, but the Kenyan high court ruled against the decision a month later. The government appealed, and the appeals court upheld the high court’s verdict in favor of GMO opposition groups in Kenya.', '“We see nothing for the court to preserve and it cannot be said that the substratum of the appeal will be eroded,” ruled the appellate court in Kenya.', 'The Kenyan High Court is also hearing another case filed by the Kenyan Peasant League, a representing body of a social movement. The League opposes the government’s decision to impose GMOs, arguing that allowing their cultivation and consumption is unlawful and that the government did not consult the public. Furthermore, the League asserts that GMO products pose health risks.', 'As a result of the ongoing case, the Kenyan government is prohibited from importing or distributing GMO crops and food until a final verdict is reached. If the Kenyan Peasants League wins the case, the Kenyan government may be permanently banned from importing GMOs.', 'The Kenyan government has argued that adopting biotechnology and using GMOs will significantly help to resolve Kenya’s food security challenges and boost the supply of animal feed. The debate between the pro-GMO Kenyan government and the anti-GMO community in Kenya follows similar lines of argument to those in Ethiopia.', 'In a stark contrast to Kenya, the Ethiopian government is currently testing the adoption of consumable GMOs without opposition. The government is testing GMO maize, wheat, potato, and enset in confined areas within different agricultural research centers, according to an official at the Ethiopian Institute of Agricultural Research (EIAR).', 'The official, who leads teams of researchers working on GMO adoption, spoke about the progress at an agricultural expo held for weeks at the science museum. However, the official requested not to be quoted as he is not authorized to speak publicly.', '“The adoption of these GMOs is necessary to fight diseases and increase productivity in these crops. Once proven in confined testing areas, they will be released to farmers. However, authorization from the biosafety regulators at the Environment, Forest and Climate Change Commission is required,” said the official.', 'So far, Ethiopia has authorized commercial purposes only for cotton, and commercial authorization for local cultivation of wheat, maize, potato, and enset is expected. However, experts have concluded that GMO products are already being imported and consumed in Ethiopia, both intentionally and unintentionally.', 'The lack of controlling mechanisms to test GMO and non-GMO commodities upon importation contributes to this unintentional consumption, and there is evidence of GMO items being smuggled into Ethiopia through border areas, mainly from Sudan.', 'Ethiopia adopted the arguable GMO proclamation in 2015, changing Ethiopia’s strict position for the first time. While the government proposes that GMOs can solve the country’s food security challenge, there has been little opposition.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Kenyas-GMO-min-696x355.jpg
"Ethiopia schools enroll over 173,000...",https://www.thereporterethiopia.com/34256/,"Ethiopia schools enroll over 173,000 refugee pupils","['Hundreds of thousands of refugee students from neighboring countries are enrolled at schools under the auspices of regional administrations in Ethiopia, the Ministry of Education disclosed.', 'As part of the initiative to push forward the inclusion of refugees in societal services along with host communities, the government has been creating an inclusive learning environment for students who happen to be refugees, as the Ministry’s report to the House of Peoples’ Representatives (HoPR) disclosed.', 'Reading the Ministry’s nine-month performance to Members of Parliament (MPs) last Tuesday, May 23, 2023, Minister Berhanu Nega (Prof.) said Ethiopia enrolled over 173,000 refugee students from pre-primary to higher education.', '“Hosting the refugees who are fleeing from neighboring countries due to man-made or natural problems, and availing of social services is one of the issues Ethiopia promised the international community to address,” Berhanu told MPs.\xa0', 'Since the current budget year began, the minister revealed that 47 pre-primary schools enrolled 48,117 young learners while 51 primary schools welcomed 109,578 student. Around 10 secondary schools teach some 14,345 pupils.', '“Additionally, we are teaching on scholarship about 1,060 students at 32 of our higher education institutions,” Berhanu told lawmakers, bringing the refugee student count in Ethiopia beyond 173,000.', 'According to details The Reporter obtained from the UN refugee bureau, Ethiopia is listed among nations with a conductive education policy for refugees. Dubbed Education Sector Development Plan VI, Ethiopia’s current education blueprint includes refugee schooling for the first time – a shift the the United Nations High Commissioner for Refugees (UNHCR) said “pave the way for inclusion of refugee education in the national system.” Moreover, the Refugee Proclamation passed in 2019 also grants refugees access to scholarly opportunities.', 'The data from UNHCR reveals that almost the same number of refugees as the Ministry revealed enrolled in the academic year 2021/2022. The enrollment rate for refugee students, as UNHCR revealed, was 40 percent for pre-primary school, 50 percent for primary school, and 19 percent for secondary school.', 'The average national enrollment rate of students stands lower than the rate of refugee students at the pre-primary school with 36.7 percent, while counting higher in primary and secondary school with 95 and 42 percent, respectively.', 'Even though most of the teachers are unqualified, UNHCR reported that 2,804 of the 3,694 teachers working with refugees are refugees themselves.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Ethiopia-schools-enroll-over-min-696x355.jpg
"Ukraine, Ethiopia agree to form joint trade commission",https://www.thereporterethiopia.com/34253/,"Ukraine, Ethiopia agree to form joint trade commission","['Ethiopia and Ukraine have joined forces to bolster their economic ties through the establishment of a joint trade commission that will oversee and enhance bilateral trade practices.', 'Dmytro Kuleba, Ukraine’s Foreign Minister, shared with the media and diplomatic corps in Addis Ababa that he had a fruitful conversation with Prime Minister Abiy Ahmed (PhD).', 'Kuleba’s visit to Morocco, Ethiopia, and Rwanda aimed to build Ukraine’s economic partnerships in Africa, with Ethiopia being one of its most significant trade partners on the continent.', 'According to the State Statistics Agency of Ukraine, the two nations exchanged goods and services worth USD 285 million as of December 31, 2021, with Ukraine importing USD 7 million and exporting USD 278 million in 2021.', 'Ethiopia primarily supplies tea, coffee, seeds, fruit oilseeds, knitted and crocheted clothing, and flowers to Ukraine, while Ukraine chiefly imports food and industrial supplies such as wheat, meat, and vegetable oil, as well as textiles, ferrous metals, aluminum, and their products from Ethiopia.', 'Upon his arrival in Ethiopia, the Ukrainian Minister was not greeted by senior Ethiopian government officials, as is customary for delegations that have previously visited the country. Nevertheless, the Minister mentioned that he had a productive conversation with Abiy, highlighting that “in times of war, substance matters most, and one does not need extravagance or special treatment. We are very simple, just like you.”', 'The Minister also revealed that the two countries had agreed to establish an intergovernmental committee for trade, economic cooperation, and technology collaboration, with delegations from each nation resuming discussions. According to Kuleba, this was the first successful dialogue between high-ranking officials from both nations.', '“As a person with a military background, he perfectly understood what was happening in Ukraine,” Kuleba said of his conversation with the Prime Minister.', 'The Foreign Minister emphasized Ukraine’s intention to establish direct relationships with African nations based on mutual interest, mutual benefit, and shared principles.', '“Despite the ongoing conflict, we intend to expand trade and cooperation with African nations and launch specialized programs. We recognize that food security is one of the primary concerns of African nations, and this is a role we wish to maintain in the global food system,” Kuleba explained.', 'According to the Minister, the “Grain from Ukraine” initiative has already dispatched 123 ships carrying over three million tons of agricultural products to Ethiopia, Libya, Morocco, Egypt, Kenya, Sudan, Tunisia, Somalia, and Algeria.', '“We are attempting to explain that remaining neutral in the face of Russian aggression against Ukraine would entail remaining neutral in the face of potential border violations and mass atrocities that could occur very close to you, if not directly against you,” the Minister said.', 'According to Kuleba, this conflict represents a battle between those who uphold international law and those who believe they can flout it by invading, torturing, and committing other violations.', '“It won’t be easy for us to communicate, but we’ll keep trying,” he concluded.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Ukraine-min-696x355.jpg
"AU, ILO join wings to empower Africa’s youth",https://www.thereporterethiopia.com/34247/,"AU, ILO join wings to empower Africa’s youth","['The International Labor Organization (ILO) and the African Union (AU) have teamed up to create a pioneering youth employment strategy called YES-Africa.', 'The strategy aims to generate decent and productive employment opportunities for African youth and enhance collaboration between government and private sectors.', 'YES-Africa will serve as a comprehensive guide for investors, African governments, employers, trade unions, non-governmental organizations (NGOs), youth, and other stakeholders.', 'The African Union’s technical committee on youth, culture, and sport recently approved the strategy, which will come into effect in 2024 and continue until 2030.', 'The primary objective of YES-Africa is to maximize the coordination between governments and private sectors to create sustainable, decent job opportunities for African youth, Jonas Bausch, a youth employment specialist at the ILO Regional Office for Africa, told The Reporter.', '“Free movement of people across Africa and intra-Africa trade will also be enablers of the initiative,” Bausch said, adding they expect to finalize the development of the strategy this year and launch it in 2024.', 'In 2020, the number of African youth not in employment, education, or training (NEET) exceeded one in five. Unemployment rates vary significantly across the continent, ranging from 30 percent in northern Africa to 11 percent in sub-Saharan Africa.', 'As of 2019, Africa had an estimated 252 million youths, representing 19 percent of the global youth population. According to the United Nations, 15 percent of the world’s population, or 1.21 billion people, fall between the ages of 15 and 24.', 'The YES-Africa strategy will focus on fostering collaboration between the African private sector and government policies to create decent job opportunities for youth. The continental and national levels will align economic policies, labor market policies, and youth development policies for member countries. Following this, the blueprint for the continental strategy will be presented and implemented by ministries in each country.', 'Since the onset of the COVID-19 pandemic, Africa has experienced a surge in youth unemployment, migration to other continents, and instability. To address this issue, individual youth employment programs based on the AU-ILO strategy will be developed in African countries. Each program will have a unique strategy tailored to its specific context, aligning with the goals of Agenda 2063.', '“We know one size does not fit all. The economies in Africa are changing a lot. New technologies are emerging. This strategy is developed by the continent for the continent,” Bausch said.', 'No foreign actors, like the EU or other countries, are involved, the Specialist claims.', '“ILO just brings in the skills. This is a joint initiative of the AU and the ILO. The joint task started last year. The process of the strategy was endorsed. So this is an endorsed AU policy developed in cooperation with the ILO,” added Jonas.', 'Creating job opportunities for young people will largely depend on the industries and economic fields prioritized by individual nations. However, the youth employment strategy will primarily focus on the digital economy, green economic development, agriculture, and other relevant sectors.', 'The commitment to develop this strategy emerged from the ILO’s Africa Regional Meeting in December 2019, which brought together ILO constituents from member countries across the continent. The Abidjan Declaration, resulting from the meeting, prioritized the creation of decent work and productive employment opportunities for all, with a special emphasis on vulnerable groups such as youth, women, people with disabilities, and those facing discrimination.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/AU-ILO-join-wings-to-empower-min-696x355.jpg
"Tigray schools in ruins, 3,846 students, teachers killed in conflict",https://www.thereporterethiopia.com/34244/,"Tigray schools in ruins, 3,846 students, teachers killed in conflict","['The conflict in Ethiopia’s Tigray region claimed the lives of over 3,846 teachers and students, reveals Ethiopia’s Institution of the Ombudsman.', 'Ongoing damage assessments paint a grim picture of devastation to schools and educational facilities.', 'The report, presented on May 25, 2023, revealed that the war in Tigray had taken the lives of 2,146 students and 1,700 teachers over two years. The substantial loss of life threatens to severely disrupt learning for a generation of Tigray’s youth.', 'Six months after the Pretoria Accord ended the fighting, over 2.8 million Tigrayans remain displaced from their homes.', 'The findings emerged a week after internally displaced persons and Tigray residents staged massive protests demanding the withdrawal of Eritrean and Amhara forces occupying parts of Tigray.', 'Officials from the Tigray Interim Administration stated that as long as these troops remain, internally displaced persons cannot return to their former livelihoods – including schools left shattered in the conflict’s aftermath.', 'One million of the 2.8 million internally displaced persons are from northwest Tigray, which reportedly remains under the control of Eritrean and Amhara forces.', 'However, even near the regional capital Mekelle, over 419,000 internally displaced persons remain, as well as 299,000 in central Tigray, 256,000 in eastern Tigray, 195,000 in the southwest, and over 45,000 in the south.', 'The internally displaced persons are also not receiving adequate aid and support, according to Adane Belay, director of abuse prevention at the Ethiopian Institution of the Ombudsman. The institute conducted the research between April 30 and May 10, 2023.', 'Adane stated that during the war, 96 percent of student desks, 95 percent of blackboards, 88 percent of student classrooms (both completely and partially), 63 percent of textbooks, and 31 percent of administrative buildings were destroyed in the Tigray region.', 'Damage to healthcare facilities is estimated at 65 billion Ethiopian birr, while damage to electricity infrastructure is estimated at three billion birr, telecommunications infrastructure at 1.3 billion birr, and water infrastructure at 489 million birr.', 'Property worth 69 billion birr has been destroyed in just four sectors alone, according to the report.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Tigray-schools-in-ruins-min-696x355.jpg
The High Price of Power,https://www.thereporterethiopia.com/34236/,The High Price of Power,"['The killing spree targeting government officials in Ethiopia has become a disturbingly common occurrence. Opposition and rebel groups appear to be using violence as a way to achieve their political objectives, which has brought renewed attention to the issue of political violence in the country. The prevalence of extrajudicial killings in Ethiopia is not a new phenomenon, dating back to the Red and White Terror episode under the military dictatorship of Dergue in the 1970s and 1980s.', 'However, today, the perpetrators of these killings are predominantly third parties, including individuals with political interests, groups, and other non-state entities.', 'The assassinations of government officials began shortly after Prime Minister Abiy Ahmed (PhD) assumed office in 2018. During the earliest phases of the political transition, the Prime Minister himself survived a grenade assault while addressing a public rally in Meskel Square. Two months later, the chief engineer of the Grand Ethiopian Renaissance Dam (GERD), Simegnew Bekele, was found dead in his car in the same square. In 2019, there were even more shocking killings.', 'Amhara Region’s former President, Ambachew Mekonnen, and Seare Mekonnen (Gen.) were killed on the same date in June 2019.', 'Ambachew, along with his advisor Ezez Wassie, was assassinated in Bahir Dar, the region’s capital, in June 2019. Seare, on the other hand, was killed in Addis Ababa the same day by his own bodyguard, who had apparently turned on him and carried out the attack. The killings in Amhara Region were carried out by a group of soldiers led by Amhara’s head of state security, Asamnew Tsige (Gen.), who had apparently orchestrated the coup attempt in the region.', 'The tragic killing of yet another official from the Amhara Region last month by armed groups operating in the area serves as a bleak reminder that history has a disheartening tendency to repeat itself.', 'The severity of the killing spree is greater in the regional states, but even the capital city has not been immune to the violence. In recent months, a number of high-ranking officials have been assassinated, including the Amhara regional state Prosperity Party leader, Girma Yeshitila, and the Afar region PP leader of Hanruka District, Umer Lema.', 'Of all regions, Oromia is where more officials were killed than any other region in recent years, excluding Tigray, where such violence was common due to the two-year full-fledged war in the region. Last year, it was reported that there was a day when 28 officials were allegedly killed by the Oromo Liberation Army (OLA).', 'The killings of officials in Oromia are often carried out in the context of political tensions and ethnic conflicts in the region. Political groups that claim to represent the Oromo people, who make up the majority of the population in Oromia, have long complained of political marginalization and discrimination. Armed groups such as the Oromo Liberation Army (OLA) have emerged in response to these grievances, and they have carried out attacks on government officials and security forces in an effort to advance their political demands.', 'Various organizations and researchers have studied targeted killings of officials in Ethiopia. Research has shown that the targeting of government officials by opposition groups is a symptom of deeper political and social problems, often rooted in weak governance.', 'A study published in 2019 in the Journal of Modern African Studies by Kristian Takvam Kindt and Kjetil Tronvoll found that political violence, including targeted killings of government officials and leaders, had contributed to a culture of fear and mistrust in the country and had undermined social cohesion and political stability.', 'Another study published in 2017 by Lencho Lata and the Institute for Security Studies found that political violence, including targeted killings, had a negative impact on economic growth in Ethiopia as it disrupted supply chains and undermined investor confidence. Rights organizations such as Amnesty International and Human Rights Watch have also documented cases of targeted killings of opposition politicians, journalists, and human rights activists in Ethiopia.', 'These studies suggested that targeted killings of officials in Ethiopia can have significant impacts on political stability, social cohesion, human rights, and economic development.', 'The recent spate of violence in Ethiopia has been a topic of discussion among various political figures, each offering their unique perspective on the root causes of the problem. While some point to the failure of the government to establish law and order, others blame the ruling party’s transgressions.', 'For Chuchu Alebachew, a veteran politician from the Amhara regional state, the issue runs deeper than just a change in political reform. Instead, Chuchu believes that the absence of strong leaders is at the heart of the problem.', 'In his view, leaders are not born but are the result of hard work and dedication. However, politicians in Ethiopia have failed to listen to one another, creating a nation that “consumes its leader” and leading to a recent spate of difficulties for the Amhara people.', 'Despite these challenges, Chuchu remains hopeful that strong leaders will emerge from the nation, bringing with them the stability and security that Ethiopia so desperately needs. He emphasizes that disagreements and differing viewpoints are a natural part of the political process and do not make leadership any harder than it already is.', 'For Mulatu Gemechu, an opposition figure, the recent murders in Ethiopia have a political motive and are a result of the government’s inability to establish law and order. He suggests that the government has failed to use its authority and resources effectively, making it challenging to identify the actual perpetrators of each crime.', 'Mulatu emphasizes that satisfying the interests of the people through a strategy that benefits everyone is key to promoting harmony and security.', 'In contrast, Tiruneh Gemta, the secretary of the Oromo Federalist Congress, blames the ruling party for the current situation in Ethiopia, stating that the government’s transgressions are the primary cause of the country’s current predicament.', '“As an opposition party, we have lost the lives of our members,” says the politician, demanding an investigation by a third party.', 'Tiruneh further argues that the violence has affected not only government officials but also civilians and opposition party leaders who have been targeted because of their political beliefs. He believes that the narrow political playground is the root cause of all problems.', 'With these differing viewpoints on the issue, it remains to be seen how the government will respond to the ongoing violence and what steps will be taken to ensure the safety and security of all Ethiopians.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/THE-HIGH-PRICE-OF-POWER-change-696x355.jpg
Conflict pushes 3m deeper into poverty,https://www.thereporterethiopia.com/34088/,Conflict pushes 3m deeper into poverty,"['GDP contracted by 25.9% because of the war in North Ethiopia', 'Three million people have fallen below the absolute poverty line in conflict-affected regions.', 'A report presented to the House of Peoples’ Representatives (HPR) by Ministry of Finance officials reveals that one-third of the total population in regional states is directly impacted by the war in northern Ethiopia', 'Ethiopia’s GDP has decreased by 25.9 percent as a result of the war in northern Ethiopia.', 'War-related damages total USD 22 billion (20.4 percent of GDP), while economic losses total six billion dollars (5.5 percent of GDP), according to the report presented by the Minister.', 'In the upcoming weeks, the report, titled “Ethiopia’s Damage and Needs Assessment,” will be made available to the public.', 'On May 17, 2023, while presenting his nine-month report to the HPR, Minister of Finance Ahmed Shide informed the Budget and Finance Affairs Standing Committee that millions of people have fallen below the poverty line.', '“Currently, a significant number of the population are internally displaced persons (IDPs),” he said.', 'Ahmed says that a second document titled “Ethiopia’s Resilient Recovery and Reconstruction Planning Framework” is also complete.', 'The framework, which will be implemented between 2023 and 2028, will require USD 20 billion to carry out the planned projects over the next five years. Already, the World Bank has contributed USD 300 million for the return of IDPs to their homes.', 'The prolonged conflict in several regions of the country has exacerbated poverty by compounding the effects of inflation, supply disruptions, climate change, COVID-19, and a growing informal economy.', 'According to Ethiopian Policy Studies Institute (PSI) reports from 2021, 68.7 percent of the population is multidimensionally poor, and 18.4 percent are at risk of becoming multidimensionally poor.', 'Despite halving to 19 percent over the past two decades, the poverty rate has risen in real terms. One major factor in Ethiopia’s worsening poverty situation is the suspension of pro-poor projects funded by Western development partners.', '“Foreign development partners stopped budgetary support due to the war in Ethiopia. Some budget instruments are still on hold. We hope these projects will resume soon since peace and stability have been restored,” Finance Minister Ahmed said.', 'For the current fiscal year, the Ministry anticipates 7.7 billion birr in direct budget support from development partners. In contrast, performance over the past nine months has been nonexistent.', 'The government had also planned to collect USD 2.9 billion in grants and loans over the past nine months but only collected USD 1.8 billion (62.2 percent).', '“Development partners are failing to deliver on their pledges due to the war that took place in the country,” Ahmed told parliamentarians.', 'To cover the budget deficit for the current fiscal year, the government has taken out a loan of 194.6 billion birr. The debt consists of direct advances from the central bank and Treasury bills.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Conflict-pushes-min-696x355.jpg
"Congressman advocates for Ethiopia’s exclusion from AGOA, international lending",https://www.thereporterethiopia.com/34078/,"Congressman advocates for Ethiopia’s exclusion from AGOA, international lending","['Member of the United States Congress wants Ethiopia to remain excluded from the African Growth and Opportunity Act (AGOA) trade preferences until the Ethiopian government investigates alleged diversions of humanitarian aid in Tigray Regional State.', 'Congressman Brad Sherman urged USAID and the Biden administration “not to reinstate the African Growth Opportunity Act (AGOA) and not to back international lending for Ethiopia until US humanitarian monitors are on the ground.”', 'Sherman claims that Prime Minister Abiy Ahmed (Ph.D.) is actively seeking AGOA and international lending. The Congressman and Administrator of USAID argued in regards to the situation in Tigray.', 'Since two weeks ago, USAID has suspended the delivery of humanitarian aid to Tigray due to aid diversion.', '“USAID uncovered that food aid, intended for the people of Tigray suffering under famine-like conditions, was being diverted and sold on the local market. Immediately after this discovery, USAID referred the matter to USAID’s Office of the Inspector General, which began an investigation,” reads a statement issued by USAID on May 3, 2023.', 'It states that a comprehensive review of the programs has been initiated and that senior leadership from the Bureau of Humanitarian Assistance has been deployed to Ethiopia to conduct additional assessments as part of the investigation. In coordination with the US Embassy in Addis Ababa and implementing partners, USAID determined that a temporary pause in food aid was the best course of action following the review.', '“USAID stands ready to restart paused food assistance only when strong oversight measures are in place and we are confident that assistance will reach the intended vulnerable populations.” However, during this week’s session with Congress, USAID administrator Samantha Power and Congressman Brad Sherman stated that the Ethiopian government isn’t allowing US humanitarian monitors on the ground in Tigray.', '“Diversion of aid while over five million people in Tigray are in need is outrageous. We have paused the aid. We have to figure out how to get access on the ground. It is critical to have our humanitarian monitors on the ground,” Power told Congress.', 'On May 19, 2023, Sherman tweeted, “It is critical that aid diversion end immediately and humanitarian assistance resume as soon as possible in Tigray. Pleased to hear from Power that the US will not reward #Ethiopia with AGOA restoration until humanitarian aid gets to its intended recipients unencumbered.”', 'Close to 25 people have reportedly perished in Tigray due to a lack of humanitarian aid, according to Tigrayan officials.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Congressman-advocates-for-Ethiopias-min-696x355.jpg
