Text,Date,ImagePath,ImageURL
"የመውጫ ፈተና !

ከ168 ሺ በላይ የ2015 ዓ.ም ዕጩ ተመራቂዎች በቀጣይ ወር የሚሰጠውን ሀገር አቀፍ የመውጫ ፈተና ይወስዳሉ። 

የመውጫ ፈተናው ከሐምሌ 03 እስከ 08/2015 ዓ.ም በኦንላይን በ208 የትምህርት መስኮች ይሰጣል። 

መንግሥት ከዚህ ቀደም ፈተናው ለ240 ሺህ በላይ ዕጩ ተመራቂዎች ይሰጣል ብሎ የነበረ ቢሆንም፤ ፈተናውን ለመውሰድ 168,345 ተማሪዎች ብቻ #መስፈርት ማሟላታቸው ተገልጿል። 

ከ44 የመንግሥት እና ከ161 የግል ከፍተኛ ትምህርት ተቋማት የተውጣጡ ዕጩ ተመራቂዎች ፈተናውን በ82 የመፈተኛ ማዕከላት ውስጥ ይወስዳሉ። 

ከሐምሌ 09/2015 ዓ.ም ጀምሮ ውጤት ይገለጻል ተብሏል።

በሌላ በኩል ፤ የመውጫ ፈተና የሚወስዱ ዕጩ ተመራቂ ተማሪዎችን የተመለከተ መረጃ ለትምህርትና ስልጠና ባለሥልጣን የላኩ የግል ከፍተኛ ትምህርት ተቋማት የተፈታኝ ተማሪዎቻቸውን የመግቢያ ስም እና የይለፍ ቃል መውሰድ እንደሚችሉ ተገልጿል።

ባለሥልጣን መ/ቤቱ ከትምህርት ሚኒስቴር የመጣለትን የግል ከፍተኛ ትምህርት ተቋማት የተፈታኝ ተማሪዎች የመግቢያ ስም እና የይለፍ ቃል እንዲወስዱ ለተቋማቱ ጥሪ አድርጓል፡፡ 

More : @tikvahuniversity",2023-06-21 16:20:57+00:00,C:/Users/KIIT/Local Sites/wescrape2/app/public/wp-content/images/79209.jpg,http://wescrape2.local/wp-content/images/79209.jpg
"በጊዜያዊነት ታግደዋል !

"" ብራስ ዩዝ አካዳሚ "" እና "" ቅዱስ ሚካኤል ትምህርት ቤቶች ከክፍያ ጭማሪ ጋር በተያያዘ በጊዜያዊነት ታገዱ።

የአዲስ አበባ ትምህርት እና ስልጠና ጥራት ቁጥጥር ባለስልጣን ሁለት ትምህርት ቤቶችን በጊዜያዊነት አግዷል።

የታገዱት "" ብራስ ዩዝ አካዳሚ "" እና ቅዱስ ሚካኤል ትምህርት ቤቶች ናቸው።

ለምን ታገዱ ?

ብራስ ዩዝ አካዳሚ ፦

ት/ቤቱ ከክፍያ ጭማሪ ጋር በተያያዘ ከወላጆች ጋር ስምምነት ሊደርስ አልቻለም ተብሏል።

ት/ቤቱ ያቀረበው 40 % እና ወላጆች ለቅድመ መደበኛ 25 % ለመጀመሪያ ደረጃ 30 % ያቀረቡ ሲሆን በዚሁ ጉዳይ ሰፊ ውይይት ተደርጓል።

ባለስልጣን መስሪያ ቤ/ት የሁለቱንም ወገን ምክንያት ታሳቢ በማድረግ በ30% ለማስማማት መሞከሩን በዚህም ወላጆች ቢስማሙ ት/ቤተ ግን የማደራደሪያ ሃሳቡን አልተቀበለም።

ከወላጆች ጋር በ2016 ዓ/ም የትምህርት አገልግሎት ክፍያ ላይ የጋራ ስምምነት ላይ ሳይደረስ ለ2016 ዓ/ም የተማሪ ምዝገባ ማከናወን የማይቻል በመሆኑ ተቋሙ በጊዜያዊነት መታገዱን ባለስልጣን መ/ቤቱ አሳውቋል።

ቅዱስ ሚካኤል ትምህርት ቤቶች ፦

ይህም ት/ቤቱ በተመሳሳይ ከክፍያ ጭማሪ ጋር በተያያዘ ከወላጆች ጋር ስምምነት ሊደርስ አልቻለም ተብሏል።

ት/ቤቱ ያቀረበው 80 % ጭማሪ ሲሆን እና ወላጆች 50 % እንዲቀራረቡ ሰፊ ውይይት ለማድረግ ቢሞከርም  ማስማማት አልተቻለም።

ባለስልጣን መስሪያ ቤ/ት የሁለቱንም ወገን ምክንያት ታሳቢ በማድረግ በ60% ለማስማማት መሞከሩን በዚህም ወላጆች እና ተወካዮቻቸው ቢስማሙ ት/ቤቱ ግን የማደራደሪያ ሃሳቡን አልተቀበለም።

ከወላጆች ጋር በ2016 ዓ/ም የትምህርት አገልግሎት ክፍያ ላይ የጋራ ስምምነት ላይ ሳይደረስ ለ2016 ዓ/ም የተማሪ ምዝገባ ማከናወን የማይቻል በመሆኑ ተቋሙ በጊዜያዊነት መታገዱን ባለስልጣን መ/ቤቱ አሳውቋል።

ምንጭ፦ የአዲስ አበባ ትምህርት እና ስልጠና ጥራት ቁጥጥር ባለስልጣን

@tikvahethiopia",2023-06-21 16:16:27+00:00,C:/Users/KIIT/Local Sites/wescrape2/app/public/wp-content/images/79207.jpg,http://wescrape2.local/wp-content/images/79207.jpg
"#MY_MUSIC_SHOP

🎹 All kind of musical Instruments &   Accessories.

🎧 All kinds of Studio Recording Equipments!

 🎸BOX GUITAR, 🎸LEAD GUITAR, 🎸BASS GUITAR, 🎹STAGE KEYBORDS, 🎤 MICROPHONES, 🎧HEADPHONES 

Join 👉 https://t.me/dagmusical

☆ Contact.   ☎️ +251939854210
🏠 Megenagna Zefmesh Grand Mall 3rd floor #325.",2023-06-21 16:16:20+00:00,C:/Users/KIIT/Local Sites/wescrape2/app/public/wp-content/images/79205.jpg,http://wescrape2.local/wp-content/images/79205.jpg
"ጉዞዎን በካርዶ!

በሚጠቀሙት የትራንስፓርት አገልግሎት ላይ የብርሃንን ኤም-ፓሶችን  ይጠይቁ ፣ ባንካችን   ላጠቃቀም ቀላል እና ምቹ የሆኑ ኤም-ፖሶችን  አቅርቦሎታል    
በብርሃን ካርዶ ይጠቀሙ ጥሬ ገንዘብ አልያዝኩም ከሚል ሀሳብ እና ጭንቀት  ይረፉ! 

#ብርሃን_ባንክ
እንደ ስማችን ብርሃን ነው ስራችን",2023-06-21 16:16:12+00:00,C:/Users/KIIT/Local Sites/wescrape2/app/public/wp-content/images/79204.jpg,http://wescrape2.local/wp-content/images/79204.jpg
"#AddisAbaba

የአዲስ አበባ ከተማ የመሬት ልማትና አስተዳደር ቢሮ የ1ኛ ዙር የመሬት ሊዝ ጨረታ አሸናፊዎችን ስም ዝርዝር ይፋ አድርጓል። 

ቢሮው በከተማዋ ላለፉት አምስት ዓመታት ቆሞ የነበረውን መሬትን በሊዝ ጨረታ የማስተላለፍ ተግባር ዳግም መጀመሩ አስታውሷል።

ከግንቦት 24/2015  ዓ/ም ጀምሮ ለስድስት ተከታታይ ቀናት በይፋ ተከፍቶ አሸናፊዎቹ የተለየውን የ1ኛው ዙር የመሬት ሊዝ ጨረታ አሸናፊዎችን ስም ዝርዝር ይፋ መደረጉን አሳውቋል።

በዚህ ጨረታ ዝቅተኛ ዋጋ የተመዘገበው በለሚ ኩራ ክፍለ ከተማ ሲሆን፣ ይህም በካሬ ሜትር 20 ሺህ ብር ነው፡፡ 

ከፍተኛው በአራዳ ክፍለ ከተማ ሲሆን በካሬ ሜትር 414 ሺህ ብር እነደሆነ ተገልጿል።

ለ21 ሺህ 636 ተጫራቾች የጨረታ ሰነድ የተሸጠ ሲሆን ከእነዚህ ወስጥ 11 ሺህ 437 ሰነዶች ተሞልተው ሳጥን ውስጥ ገብተዋል።

ሙሉ የጨረታውን አሸናፊዎች ስም ዝርዝር ከላይ በተያያዘው PDF ፋይል ይመልከቱ።

Credit : Addis Media Network / Addis Lisan

@tikvahethiopia",2023-06-21 10:44:58+00:00,,
"የማዳበሪያ ነገር . . .

መንግሥት ፤ የ "" አፈር ማዳበሪያ "" ወደ ሀገር ውስጥ በማስገባት ለምርት ዘመኑ የሚያስፈልገውን ማዳበሪያ ለማቅረብ እየሰራ መሆኑን ቢገልፅም አሁንም በተለያዩ አካባቢዎች ያሉ ገበሬዎች በወቅቱ እየደረሳቸው እንዳልሆነ እየገለፁ ይገኛሉ።

የግብርና ሚኒስቴር ፤ ለምርት ዘመኑ የሚያሰፈልገውን የአፈር ማዳበሪያ ለማቅረብ በትኩረት እየተሰራ እንደሚገኝ ገልጿል።

በ2015/16 ምርት ዘመን የሚውል 12.8 ሚሊዮን የአፈር ማዳበሪያ ግዥ ተፈጽሞም ወደ ሀገር ውስጥ የማጓኀጓዝ ስራ እየተሰራ ይገኛል ብሏል።

እንደ ግብርና ሚኒስቴር እና ኢትሎባድ መረጃ መሰረት ፦

- በቀን በአማካኝ 8 ሺህ ሜትሪክ ቶን የአፈር ማዳበሪያ ከጅቡቲ ወደብ ወደ ሀገር ውስጥ እየገባነው።

- በ13 ግዙፍ መርከቦች ተጓጉዞ ጅቡቲ ከደረሰ አጠቃላይ መጠን ከ677 ሺህ 678 ሜትሪክ ቶን (90 %) በላይ የአፈር ማዳበሪያ ወደ ሀገር ገብቷል።

- እስከ ሰኔ 10/2015 ዓ.ም ድረስ ከ7.4 ሚሊዮን ኩንታል በላይ የአፈር ማዳበሪያ ጅቡቲ ወደብ የደረሰ ሲሆን ከዚህ ውስጥ ደግሞ 6.6 ሚሊዮን ኩንታል ሙሉ በሙሉ ሀገር ውስጥ ገብቶ እየተጓጓዘ ነው፡፡

- በመጪው 10 ቀናት በአራት / 4 መረከቦች 220 ሺህ ሜትሪክ ቶን የአፈር ማዳበሪያ ጅቡቲ ወደብ እንደሚደርስ ይጠበቃል። ሶስት መረከቦች መጫኛ ወደብ ላይ በመጫን ላይ ናቸው። 

ግብርና ሚኒስቴር ፤ እስካሁን የማጓጓዝ ስራው በመኪና እና በባቡር በፍጥነት እየተከናወነ መሆኑን አዳማ ካለው ባቡሩ ጣቢያ እንደደረሰም ወደ ፦
- ኦሮሚያ፣ 
- አማራ
- ሲዳማ ክልሎች እየተጓጓዘ መሆኑን አመልክቷል።

"" በክልሎች ያሉ የተለያዩ የህብረት ስራ ማህበራት የማጓጓዝ ስራውን በትኩረት እየሰሩ ነው "" የሚለው የግብርና ሚኒስቴር "" በቀጣይም ለምርት ዘመኑ የሚያስፈልገውን የአፈር ማዳበሪያ ለአርሶናአርብቶ ለማቅረብ በትኩረት ይሰራል "" ብሏል።

ይህ በእንዲህ እንዳለ ግን አሁንም በክልል ያሉ አርሶ አደሮች "" ማደበሪያ #በወቅቱ እየደረሰን አይደለም "" በሚል ከፍተኛ ምሬት ላይ ናቸው።

ለአብነት በአማራ ክልል ያሉ አርሶ አደሮች በማዳበሪያ ችግር የተነሳ የእርሻ ጊዜያቸው እያለፈ መሆኑን አሁንም እየገለፁ ናቸው።

ጥያቄያቸውን በተደጋጋሚ ጊዜ በ ""ሰላማዊ ሰልፍ"" ቢገልጡም አሁንም ድረስ ችግራቸውን የሚፈታ እንዳልተገኘ በምሬት ተናግረዋል።

አርሶ አደሮቹ "" የማደበሪያ ችግራችን አልተፈታም "" በማለት በባሕር ዳር ላይ ለሦስተኛ ጊዜ ሰላማዊ ሰልፍ አድርገዋል።

አርሶ አደሮች የመጀመሪያው ዙር የማሽላ እና የበቆሎ የዘር ወቅት በማዳበሪያ እጥረት የተነሳ መዝራት እንዳልቻሉ እና ጊዜው እንዳለፈባቸው እየገለፁ የሚገኙ ሲሆን የቀጣይ የዘር ወቅት እንዳያልፍባቸው ድምፃቸውን ቢያሰሙም ምላሽ አላገኙም።

"" ማሽላም አልዘራሁ፤ ዳጉሳም ተጎልጉሎ የማሽላውን ለዳጉሳ ጎለጎልሁ ። [ማዳበሪያ] የሚገዛልኝም አጣሁ ። ማሽላ በግንቦት ነበር የምንዘራ፤ ዝናቡ ሰጥቶ ነበር አመለጠኛ ። ገበያ ላይማ እየተሸሸገ የሚሸጥማ አለ ። ዐሥር ሺህ ዘጠን ሺህ አሉት ። ያንም እኔ አልሆንልኝ አለ፤ አጣሁት፤ አላገኘሁትም ። ጤፍ እና ዳጉሳ ዛሬ ወቅቱ ። ማሽላማ አለፈ ። "" ሲሉ አንድ ለዶቼ ቨለ ሬድዮ  ጣቢያ ቃላቸውን የሰጡ አርሶ አደር ተናግረዋል።

የባሕር ዳር ከተማ አስተዳደር የግብርና መምሪያ ፤ አጠቃላይ የማዳበሪያ እጥረት መኖሩን አልሸሸገም። ሆኖም የቀረበው ማዳበሪያ በተቀመጠው ስሌት መሰረት የድርሻቸውን ይወስዳሉ ብሏል።

መምሪያው ፤ "" ክልሉ 43,280 አጸደቀልን። መጥቶ ኅብረት ሥራ ማኅበር የደረሰው ግን 16,343 ነው ፤ የሚታረሰው መሬት 15,000 በላይ ነው ፤ ይኼ ደግሞ በቆሎ አምራች ነው ። አንድ ኼክታር ሁለት ይፈልጋል ዳፕ ብቻ ። 16,000 ብቻ መጥቶ 43,000 ቢቀርብ ነው የተወሰነ ፍልጎቶችን ሊያረካ የሚችለው ። እና እጥረቱ በጣም ሰፊ ነው ። ያለው ግን በኮታቸው መሠረት፤ በድልድላቸው መሠረት እየተሰራጨ ነው። "" ብሏል።

በአማራ ክልል እስካሁን ከ5 ሚሊዮን ኩንታል በላይ ማዳበሪያ እንደተገዛ በክልሉ ግብርና ቢሮ በኩል ቢነገርም፤ አብዛኛው አርሶ አደር ግን እስካሁን በእጁ የገባ ነገር እንደሌለ ይናገራል። 

ማዳበሪያው "" በሕገወጥ መንገድ በከፍተኛ ዋጋ እየተሸጠ የግለሰቦች መጠቀሚያ ሆኗል "" ሲሉም አርሶ አደሮቹ ምሬት እያሰሙ ናቸው።

ቲክቫህ ኢትዮጵያ ፤ ከአማራ ክልል፣ ከኦሮሚያ ክልል ቤተሰቦቹ አሁንም የአፈር ማዳበሪያ አቅርቦት ችግር ስለመኖሩ መልዕክቶችን እየተቀበለ ይገኛል።

"" ምንም አይነት "" የማዳበሪያ አቅርቦት የሌለባቸው አካባቢዎች መኖራቸውን በማመልከት ህዝቡን አርሶ የሚያበላው ገበሬ የከፋ ችግር ላይ ሳይወድቅ የሚመለከተው ሁሉ ችግሩን እንዲፈታ ጥሪ አቅርበዋል። 

ከዚህ ቀደም (ከበርካታ ሳምንታት በፊት) እጅግ በርካታ የቤተሰብ አባላቶቻችን "" ትኩረት ለገበሬው "" በሚል የአፈር ማዳበሪያ አቅርቦት ችግር በፍጥነት እንዲፈታ ጥሪ አቅርበው ነበር።

በተለይም መንግሥት ፤ በማዳበሪያ ሽያጭ ላይ የተሰማሩ ህገወጥ አካላትን፣ በህገወጥ ስራ ውስጥ ያሉ የራሱን አካላት እንዲፈትሽ ብለው ነበር።

(ለትውስታ ከምዕራብ ጎጃም ከተላኩ መልዕክቶች አንዱ) ፦

"" የጤፍ ዋጋ ፣ የኑሮ ውድነት ከጊዜ ወደ ጊዜ እጅግ እየጨመረ ይገኛል። 

በገበሬው ዘንድ እንደምክንያት የሚጠቀሰው ደግሞ መንግስት እያቀረበ ያለው የአፈር ማዳበሪያ በቀበሌ ኃላፊዎች አመቻችነት ቀጥታ በነጋዴው እጅ እንዲገባ እና ትክክለኛ ዋጋው በኩንታል 3500 ብር የተተመነ ቢሆንም በነጋዴው እጅ 9000 ብር መደረጉ ነው።

ገበሬው የሚፈልገውን የማዳበሪያ መጠን አለማግኘቱ የጤፍ ዋጋ እንዲሁም የኑሮ ውድነት ከዚህ ዓመት ይልቅ በሚቀጥለው መባባስ የማይቀር አመላካች ነው።

ስለሆነም የሚመለከተው አካል ትኩረት ቢሰጠው መልካም ነው። ""

@tikvahethiopia @tikvah_eth_BOT",2023-06-21 10:38:47+00:00,,
""" የትግራይ እና የአማራ ሕዝብም ተገናኝቶ መነጋገር ይገባዋል "" - ኮሎኔል ደመቀ ዘውዱ

ኮሎኔል ደመቀ ዘውዱ፤ የወልቃይት ጉዳይ ከውይይት ውጭ በሆነ መንገድ ይፈታል ብለው እንደማያሙን ገልጸዋል።

ለአካባቢው ጦርነት መፍትሄ እንደማይሆንም አስገንዝበዋል።

ከቢቢሲ ጋር ባደረጉት ቃለምልልስ በወልቃይት ጉዳይ ከትግራይ ክልል አስተዳደር ጋር ለመነጋገር ፍላጎት ያላቸው እንደሆነ የተጠየቁት ኮ/ሌ ደመቀ ዘውዱ ፤ "" ጉዳያችን ሊያልቅ የሚችለው በመነጋገር እና በመወያየት ነው "" ሲሉ መልሰዋል።

"" በጉልበት የሚያልቅ ነገር የለም። "" ያሉት ኮሌኔል ደመቀ "" እኛ ብቻ አይደለንም መላው የወልቃይት ጠገዴ ሕዝብ፣ መላው የአማራ ሕዝብ ሊነጋገር ይገባል "" ብለዋል።

የትግራይ እና የአማራ ሕዝብም ተገናኝቶ መነጋገር እንደሚገባው ገልጸዋል።

"" ጉዳያችን ከውይይት ውጪ በሆነ መልኩ ይፈታል ብለን አናስብም፣ ከየትኛውም አካል ጋርም ለመነጋገር ዝግጁ ነን "" ሲሉ አሳውቀዋል።

@tikvahethiopia",2023-06-21 10:38:25+00:00,C:/Users/KIIT/Local Sites/wescrape2/app/public/wp-content/images/79200.jpg,http://wescrape2.local/wp-content/images/79200.jpg
"#RosewoodFurniture 

**በዘመናዊ ማሽነሪ እና በ3D ዲዛይን የታገዘ, 
ለኣጠቃቀም ምቹ እና ወቅቱን የጠበቁ ዘመናዊ  የፈርኒቸር ስራዎች  !  

**ስራዎቻችንን ለማየት ቻናላችንን ይቀላቀሉ  
https://t.me/R0seWood
https://t.me/R0seWood
https://t.me/R0seWood

👉🏼 ስልክ    :  📲 0905848586 
👉🏼 ኣድራሻ : 📍4 ኪሎ አምባሳደር ሞል 2ኛ ፎቅ 
                       📍ሩፋኤል ቤተክርስቲያን ከፍ ብሎ

ሮዝዉድ ፈርኒቸር 🙌",2023-06-21 10:37:46+00:00,C:/Users/KIIT/Local Sites/wescrape2/app/public/wp-content/images/79198.jpg,http://wescrape2.local/wp-content/images/79198.jpg
"My Wish Enterprise

**DEVELON (ዲቬሎን)** የሚለው አዲሱ የዱሳን ስያሜ የ **Develop (“ማደግ”)** እና **Onward (“ወደፊት”)** ቃላቶች ውህድ ሲሆን፤ በኮንስትራክሽን ማሽነሪ ዘርፍ ያሳረፍነዉን ትልቅ አሻራ በማጎልበት በጎ ነገሮችን ይዘን **“ወደፊት ለማደግ”** ያለንን ምኞት ያንፀባርቃል። 

• ከአዲሱ የብራንድ ስያሜ ለዉጥ ውጭ ምንም አይነት ውጫዊ ገፅታም ሆነ ውስጣዊ የማሽኑ አካላት ላይ ለውጥ አልተደረገም።
  
• ኦርጅናል መለዋወጫ፣ አስተማማኝ፣ ቀልጣፋና እና ተደራሽነት ያለው የጥገና አገልግሎት መለያችን ናቸው።

ማይ ዊሽ ኢንተርፕራይዝ ኃላ/የተ/የግ/ማ ቴሌግራም ቻናላችንን ይቀላቀሉ፡ https://t.me/MYWISHENT  
+251-913-356384  +251-912-710661  +251-910-626917  +251-928-414395 
+251-911-606068  +251-922-475851  +251-935-409319  +251-911-602664",2023-06-21 10:37:39+00:00,,
"የሽብር ወንጀል ቀስቃሽ መልዕክቶች አስተላልፏል ተብሎ በተጠረጠረው ግለሰብ ላይ የምርመራ ማጠናቀቂያ ጊዜ ተፈቀደ

አዲስ አበባ፣ ሰኔ 14፣ 2015 (ኤፍ ቢ ሲ) ፖሊስ በማኅበራዊ ሚዲያ የሽብር ወንጀል ቀስቃሽ መልዕክቶችን አስተላልፏል ብሎ በጠረጠረው ግለሰብ ላይ ፍርድ ቤቱ የዘጠኝ ቀናት የምርመራ ማጠናቀቂያ ጊዜ ፈቀደ። 

የምርመራ ማጠናቀቂያ ጊዜውን ለፖሊስ የፈቀደው የፌደራል ከፍተኛ ፍ/ቤት ልደታ ምድብ 1ኛ ጊዜ ቀጠሮ ችሎት ነው።

ጊዜ ቀጠሮ ችሎቱ አሳዬ ደርቤ በተባለው ተጠርጣሪ ላይ የዘጠኝ ቀናት ተጨማሪ የምርመራ ማጠናቀቂያ ጊዜ የፈቀደው÷ ከዚህ በፊት በሰጠው የ14 ቀናት ጊዜ ውስጥ በፖሊስ የተሠሩ ሥራዎችን እና በተጠርጣሪ ጠበቆች የተነሱ የመከራከሪያ ነጥቦችን ተመልክቶ ነው ።

https://www.fanabc.com/archives/198597",2023-06-21 17:45:59+00:00,C:/Users/KIIT/Local Sites/wescrape2/app/public/wp-content/images/61396.jpg,http://wescrape2.local/wp-content/images/61396.jpg
