,Text,Date
0,"የነዳጅ ዋጋ ባለበት ይቀጥላል።

የሰኔ ወር የነዳጅ ምርቶች የችርቻሮ መሸጫ ዋጋ ባለበት እንደሚቀጥል ተገልጿል።

#የሁሉም_ነዳጅ_ምርቶች የችርቻሮ መሸጫ ዋጋ ከግንቦት 29 ቀን 2015 ዓ.ም ጀምሮ እስከ ሰኔ 30 ቀን 2015 ዓ.ም ድረስ በግንቦት ወር ሲሸጥ በነበረው ዋጋ እንደሚቀጥል የንግድ እና ቀጠናዊ ትስስር ሚኒስቴር አሳውቋል።

በዚሁ መሠረት :-

1. ቤንዚን  ----- ብር 69.52 በሊትር

2. ነጭ ናፍጣ ---- ብር 71.15 በሊትር

3. ኬሮሲን ---- ብር 71.15 በሊትር 

4. የአውሮፕላን ነዳጅ ---- ብር 65.35 በሊትር

5. ቀላል ጥቁር ናፍጣ ---- ብር 57.97 በሊትር

6. ከባድ ጥቁር ናፍጣ ---- ብር 56.63 በሊትር

መረጃው የንግድና ቀጠናዊ ትስስር ሚኒስቴር / ኤፍቢሲ ነው።

@tikvahethiopia",2023-06-05 15:41:17+00:00
1,,2023-06-05 15:41:17+00:00
2,"#DigitalLottery

አድማስ ዲጂታል ሎተሪ ዛሬ ግንቦት 28 ቀን 2015 ዓ/ም በብሄራዊ ሎተሪ የዕጣ ማውጫ አዳራሽ በህዝብ ፊት ወጥቷል።

3 ሚሊዮን ብር ባለዕድለኛ የሚያደርገው የዕጣ ቁጥር 011851289 ሆኖ ወጥቷል።

👉 3 ሚሊዮን ብር - 0111851289
👉 1,200,000 ብር - 0111137546
👉 800 ሺህ ብር - 0112042798
👉 400 ሺህ ብር - 0110682365
👉 250 ሺህ ብር - 0111989047

(ተጨማሪ የዕጣ ቁጥሮች ከላይ ተያይዘዋል)

ምንጭ፦ የብሔራዊ ሎተሪ አስተዳደር

@tikvahethiopia",2023-06-05 14:09:28+00:00
3,,2023-06-05 14:09:28+00:00
4,"#EHRC

የኢትዮጵያ ሰብአዊ መብቶች ኮሚሽን ( #ኢሰመኮ ) በተለይ ከቅርብ ጊዜ ወዲህ በኢትዮጵያ ውስጥ የተለያዩ አካባቢዎች እየጨመረ የመጣውን የአስገድዶ መሰወር (Enforced Disappearance) እና ተይዘው የሚገኙበት ሁኔታ ሳይታወቅ በእስር ላይ የሚገኙ (incommunicada Detention) ሰዎችን ጉዳይ ሲከታተል ከቆየ በኃላ ዛሬ መግለጫ አውጥቷል።

ኢሰመኮ ምን አለ ?

- በተለይ በአዲስ አበባ ከተማ፣ በኦሮሚያና በአማራ ክልሎች በርካታ የአስገድዶ መሰወርን ድርጊት የሚያቋቁሙ ድርጊቶች መከሰታቸውን ተረጋግጧል።

- አብዛኛውን ጊዜ የዚህ ድርጊት ሰለባ የሆኑ ሰዎች ከመኖሪያ ቤታቸው፣ ከሥራ ቦታ ወይም ከመንገድ ላይ የሲቪልና የደንብ ልብስ በለበሱ የመንግሥት ጸጥታና ደኅንነት ሠራተኞች ያለ ፍርድ ቤት የመያዣ ትእዛዝ ተይዘው ከታሰሩ በኋላ ወዳልታወቀ ስፍራ እየተወሰዱ እንዲሰወሩ የተደረጉ ሲሆን፣ ከፊሎቹ ከተወሰኑ ቀናት፣ ሳምንታት ወይም ወራት መሰወር በኃላ የተገኙ መሆናቸው የተገለጸ ቢሆንም፣ ሌሎች ይህ መግለጫ እስከተሰጠበት ጊዜ ድረስ በግዳጅ እንደተሰወሩ የቀጠሉ ናቸው፡፡

- ከተጎጂዎች መካከል የተወሰኑት ሲያዙ በወንጀል ተጠርጥረው የሚፈለጉ መሆኑ ተነግሯቸው ወደ መደበኛ ፖሊስ ጣቢያ ከተወሰዱ በኋላ የተሰወሩ ሲሆን ከፊሎቹ ደግሞ ምንም ሳይነገራቸው በጸጥታ ኃይሎች ተወስደው የተሰወሩ ናቸው፡፡

ምሳሌ ፦

#1

በአዲስ አበባ ከተማ ከሚያዝያ 24 ቀን 2015 ዓ.ም. ጀምሮ ባለው ጊዜ ውስጥ ብቻ በማስገደድ ተሰውረው ከነበሩ ሰዎች ውስጥ ከተለያየ የጊዜ መጠን መሰወር በኃላ ወደ ፌዴራል ፖሊስ ጣቢያ ተወስደው የተገኙ ሲኖሩ፣ አስገድደው በተሰወሩበት ወቅት በኦሮሚያ ክልል ሸገር ከተማ ውስጥ "" ገላን "" ተብሎ በሚጠራው አካባቢ የሚገኝ የቀድሞው ልዩ ኃይል ካምፕ ውስጥ ተይዘው እንደቆዩ ለማወቅ ተችሏል። በአስገድዶ መሰወሩ ወቅት ተፈጽሟል ስለተባለ ተገቢ ያልሆነ አያያዝ ወይም #የማሰቃየት ተግባር ኮሚሽኑ ምርመራውን ቀጥሏል።

#2

በአማራ ክልል በባሕር ዳር እና በደብረ ብርሃን ከተማ የአስገድዶ መሰወር ሰለባዎች የሆኑ ሰዎችን ጉዳይ ኮሚሽኑ ሲከታተል ቆይቶ ነበር። ከነዚህም ውስጥ አንድ የሀገር መከላከያ ሠራዊት አባል "" ከሠራዊቱ ከድቷል "" በሚል በባሕር ዳር ከተማ አስተዳደር ወረብ ቀበሌ ነዋሪ የሆኑት ወላጅ #አባቱን "" ልጅህን አምጣ "" በሚል ሚያዝያ 28 ቀን 2015 ዓ.ም. በግዳጅ ተወስደው ተሰውረው ከቆዩ በኋላ ግንቦት 16 ቀን 2015 ዓ.ም. ተለቀዋል፡፡

#3

አንድ የቀድሞ የ "" ሶማሊ  ክልል  ልዩ  ኃይል "" አባል ታኅሣሥ 6 ቀን 2015 ዓ/ም ከቀኑ 11፡00 ከቢሮ ተደውሎለት ለሥራ ጉዳይ ቢሮ እንዲመጣ ተጠርቶ ከሄደ በኋላ በዕለቱ ከምሽቱ 2፡00 ሰዓት ጅምሮ ስልኩ የተዘጋ ሲሆን ከዚያ ቀን ጀምሮ የት እና ምን ሁኔታ ላይ እንዳለ ለማወቅ አልተቻለም፡፡

#4

ከኦሮሚያ ክልል የተለያዩ ቦታዎች ቢያንስ #ሰባት ሰዎች የአስገድዶ መሰወር ድርጊት ሰለባ መሆናቸው ለኢሰመኮ አቤቱታ ቀርቦ ክትትል እየተደረገባቸው ነው። 

ከእነዚህ መካከል በምዕራብ ወለጋ ዞን ጎቡ ሰዮ ወረዳ ነዋሪ የሆነ አንድ ሰው ይገኝበታል፡፡

ይህ ግለሰብ ግንቦት 24 ቀን 2014 ዓ.ም. በወረዳው ፖሊስ ከሌሎች ሦስት ጓደኞቹ ጋር ተይዞ ፖሊስ ጣቢያ ከገባ በኋላ ሰኔ 9 ቀን 2014 ዓ.ም. ከሌሎቹ ታሳሪዎች ተለይቶ ነቀምት ከተማ የሚገኝ ፖሊስ ጣቢያ መዘዋወሩ ለቤተሰብ የተነገረ ቢሆንም ከዚያ ቀን ጀምሮ ያለበትን ቦታ እና ሁኔታ ማወቅ አልተቻለም፡፡

በተመሳሳይ የኦሮሞ ፌዴራሊስት ኮንግረስ (ኦፌኮ) ማዕከላዊ ኮሚቴ አባልና የምሥራቅ ወለጋ ዞን የኦፌኮ አስተባባሪ የሆነ ሌላ ሰው ጥቅምት 8 ቀን 2015 ዓ.ም. ከቀኑ 10፡00 ሰዓት አካባቢ ላይ ከሚሠራበት መሥሪያ ቤት በመንግሥት #የደኅንነት_ኃይሎች ተይዞ ነቀምት ከተማ በሚገኘው የጸጥታ ቢሮ ውስጥ ታስሮ ከፍተኛ ድብደባ ደርሶበት እንደነበረና እጁ በሰንሰለት በመታሰሩ ምክንያት ከቤተሰብ የሚሄድለትን ምግብ ተቀብሎ መመገብ ሲያቅተው ሰዎች የተመለከቱት መሆኑን ለማወቅ ተችሏል። 

ግለሰቡ ከጥቅምት 13 ቀን 2015 ዓ.ም. ጀምሮ ሊገኝ አልቻለም። 

ቡራዩ በተለምዶ "" አሸዋ ሜዳ "" ተብሎ ከሚጠራው አካባቢ ከሚገኘው መኖሪያ ቤቱ በኦሮሚያ ልዩ ኃይል ፖሊሶች ተይዞ በቡራዩ ወረዳ 3 ፖሊስ ጣቢያ በቁጥጥር ስር ውሎ የቆየ አንድ ሰው ከሁለት ወራት የፖሊስ ጣቢያ ቆይታ በኋላ አንድ ቀን ከምሽቱ 4፡00 ሰዓት አካባቢ (ቀነ በትክክል አልታወቀም) ከሌሎች እስረኞች ተለይቶ መወሰዱ የታወቀ ቢሆንም ፣ ከዚያን ቀን ጀምሮ ያለበትን ቦታ እና ሁኔታ ማወቅ አልተቻለም፡፡

ሚያዚያ 19 ቀን 2015 ዓ.ም. ከምሽቱ 2፡00 ሰዓት ላይ ቁጥራቸው ከሃያ ያላነሱ የሀገር መከላከያ ሠራዊት አባላት በሰሜን ሸዋ ዞን ፣ ሱሉልታ ወረዳ ፣ ለገጦ ቀበሌ ገበሬ ማኅበር ፣ ልዩ ስሙ "" ረቡዕ ገበያ "" ፣ 04 ቀበሌ ተብሎ ከሚጠራው ቦታ በመምጣት አንድ ሰው ይዘው የሄዱ ሲሆን፤ በማግስቱ ቤተሰቦቹ ታሳሪውን ለመፈለግ ወታደሮቹ ይኖሩበት ወደነበረው ደርባ ቶኒ፣ አበባ ልማት ካምፕ ቢሄዱም ወታደሮቹ የተያዘው ግለሰብ ያበትን ሁኔታ ሊያሳውቁ ፍቃደኛ አለመሆናቸውን፤ ይልቁንም ለመጠየቅ የሄዱ ሰዎች እስር እና ማስፈራርያ የደረሰባቸው መሆኑን ገልጸዋል። የተያዘው ግለሰብም እስከ አሁን ድረስ ያለበት ሁኔታ እና ቦታ ማወቅ አልተቻለም፡፡

(ሙሉ መግለጫው በዚይ 👉 https://t.me/tikvahethiopia/78928?single ተያይዟል)

@tikvahethiopia",2023-06-05 10:45:57+00:00
5,"#ጋዜጣዊ_መግለጫ : "" በኢትዮጵያ እየጨመረ የመጣው ሰዎችን አስገድዶ የመሰወር (Enforced Disappearance) ድርጊት በአፋጣኝ ሊቆም ይገባል "" - የኢትዮጵያ ሰብዓዊ መብቶች ኮሚሽን

@tikvahethiopia",2023-06-05 10:43:40+00:00
6,,2023-06-05 10:43:40+00:00
7,,2023-06-05 10:43:40+00:00
8,,2023-06-05 10:43:40+00:00
9,"#መቐለ

አምባሳደር ማይክ ሀመር ትግራይ ክልል፣ መቐለ ይገኛሉ።

በአፍሪካ ቀንድ የአሜሪካ ልዩ መልዕክተኛ አምባሳደር ማይክ ሀመር ከትግራይ ጊዜያዊ አስተዳደር ከፍተኛ አመራሮች ጋር ለመነጋገር ዛሬ መቐለ ገብተዋል። 

አምባሳደር ማይክ ሀመር መቐለ አሉላ አባነጋ አውሮፕላን ማረፊያ ሲደረሱ በትግራይ ጊዜዊ አስተዳደር ፕሬዝዳንት አቶ ጌታቸው ረዳና በአስተዳደሩ የካቢኔ አባላት አቀባበል ተደርጎላቸዋል።

በትግራይ ቆይታቸውም በፕሪቶሪያ ስምምነት አፈፃፀም፣በሽግግር ፍትሕና ተጠያቂነት እንዲሁም ሌሎች ወቅታዊ ጉዳዮች ላይ ይመክራሉ ተብሎ ይጠበቃል። 

ከክልሉ ቴሌቪዥን በተገኘው መረጃ ፤  አምባሳደር ማይክ ሀመር እና በኢትዮጵያ የአሜሪካ አምባሳደር ትሬሲ አን ጃኮብሰን ከጊዜያዊ አስተዳደር ፕሬዝዳንት ጌታቸው ረዳ ጋር ​​ተወያይተዋል።

@tikvahethiopia",2023-06-05 10:03:37+00:00
